Item No.,Variant Code,Unit of Measure,Reference Type,Reference Type No.,Reference No.,Description,Description 2,Starting Date,Ending Date,Usage Data Supplier Ref. Entry No.
05066K,,CS,Bar Code,,081652050667,RETAIL 2023_05_09,,2024-07-29,,
05066K,,CS,Bar Code,,10081652050664,WH 2023_05_09,,2024-07-29,,
05067K,,CS,Bar Code,,081652050674,RETAIL 2023_04_24,,2024-07-29,,
05067K,,CS,Bar Code,,10081652050671,WH 2023_04_24,,2024-07-29,,
05068K,,CS,Bar Code,,081652050681,RETAIL 2023_05_09,,2024-07-29,2025-02-28,
05068K,,CS,Bar Code,,10051652050688,CASE,,2024-07-29,2025-02-28,
05068K,,CS,Bar Code,,10081652050688,WH 2023_05_09,,2024-07-29,2025-02-28,
05069K,,CS,Bar Code,,18801039906313,WH 2023_04_14,,2024-07-29,,
05069K,,CS,Bar Code,,8801039906316,RETAIL 2023_04_14,,2024-07-29,,
05076K,,CS,Bar Code,,081652050766,EACH,,2024-07-29,,
05076K,,CS,Bar Code,,10081652050763,CASE,,2024-07-29,,
05077K,,CS,Bar Code,,081652050773,EACH,,2024-07-29,,
05077K,,CS,Bar Code,,10081652050770,CASE,,2024-07-29,,
05081J,,CS,Bar Code,,012822009048,RETAIL 2023_04_04,,2024-07-29,,
05081J,,CS,Bar Code,,10012822009045,WH 2023_04_04,,2024-07-29,,
05082J,,CS,Bar Code,,012822009055,EACH,,2024-07-29,,
05082J,,CS,Bar Code,,012822009253,RETAIL 2023_04_04,,2024-07-29,,
05082J,,CS,Bar Code,,10012822009052,CASE,,2024-07-29,,
05082J,,CS,Bar Code,,10012822009250,WH 2023_04_04,,2024-07-29,,
05084J,,CS,Bar Code,,012822009079,RETAIL 2023_04_24,,2024-07-29,,
05084J,,CS,Bar Code,,10012822009076,WH 2023_04_24,,2024-07-29,,
05085J,,CS,Bar Code,,012822009147,EACH,,2024-07-29,2024-07-30,
05085J,,CS,Bar Code,,10012822009144,CASE,,2024-07-29,2024-07-30,
05092D,,CS,Bar Code,,081652050926,RETAIL,,2024-07-29,,
05093D,,CS,Bar Code,,081652050933,RETAIL 2023_04_04,,2024-07-29,2024-07-30,
05094D,,CS,Bar Code,,846005000467,RETAIL 2023_04_04,,2024-07-29,2024-07-30,
05096D,,CS,Bar Code,,081652050964,RETAIL 2023_04_10,,2024-07-29,2024-07-30,
05096D,,CS,Bar Code,,10081652050961,CASE,,2024-07-29,2024-07-30,
05097D,,CS,Bar Code,,081652050971,EACH,,2024-07-29,2024-07-30,
05106D,,CS,Bar Code,,60110185,RETAIL 2023_03_17,,2024-07-29,2024-07-30,
05106D,,CS,Bar Code,,846005000580,WH 2023_03_17,,2024-07-29,2024-07-30,
05118K,,BX,Bar Code,,8801153522027,EACH,,2024-07-29,,
05121J,,CS,Bar Code,,081652051213,EACH,,2024-07-29,,
05121J,,CS,Bar Code,,10081652051210,WH 2023_05_09,,2024-07-29,,
05122J,,CS,Vendor,10636,34017,,,,,
05122J,,CS,Bar Code,,081652051220,RETAIL 2023_05_09,,2024-07-29,,
05122J,,CS,Bar Code,,10081652051227,WH 2023_05_09,,2024-07-29,,
05132J,,BX,Bar Code,,4972080001412,EACH,,2024-07-29,,
05145K,,CS,Bar Code,,081652051459,RETAIL 2023_05_09,,2024-07-29,2024-08-30,
05145K,,CS,Bar Code,,10081652051456,WH 2023_05_09,,2024-07-29,2024-08-30,
05148K,,CS,Bar Code,,081652051480,RETAIL,,2025-05-13,2025-05-13,
05148K,,CS,Bar Code,,10081652051487,,,2025-05-13,2025-05-13,
05149K,,CS,Bar Code,,081652051497,RETAIL,,2024-07-01,,
05149K,,CS,Bar Code,,10081652051494,,,2024-07-01,,
05150D,,CS,Vendor,10656,F102263,,,,,
05150D,,CS,Bar Code,,081652051503,RETAIL 2023_04_04,,2024-07-29,,
05151D,,CS,Bar Code,,081652051510,RETAIL,,2024-07-29,,
05152D,,CS,Bar Code,,081652051527,EACH,,2024-07-29,,
05153D,,CS,Bar Code,,081652051534,RETAIL,,2024-07-29,,
05154D,,CS,Bar Code,,854651008034,CASE,,2024-07-29,,
05174J,,BX,Vendor,10636,32105,,,,,
05174J,,BX,Bar Code,,074880022018,EACH,,2024-07-29,,
05175J,,BX,Bar Code,,081652051756,EACH,,2024-07-29,2024-07-30,
05190J,,BX,Bar Code,,14901174400760,CS,,2025-01-20,,
05190J,,BX,Bar Code,,4901174400763,RETAIL,,2025-01-20,,
05194K,,CS,Bar Code,,081652051947,RETAIL 2023_05_09,,2024-07-29,,
05194K,,CS,Bar Code,,10081652051944,WH 2023_05_09,,2024-07-29,,
05195K,,CS,Bar Code,,081652051954,RETAIL 2023_04_04,,2024-07-29,,
05195K,,CS,Bar Code,,10081652051951,WH 2023_04_04,,2024-07-29,,
05196K,,CS,Bar Code,,081652051961,EACH,,2024-07-29,,
05196K,,CS,Bar Code,,10081652051968,CASE,,2024-07-29,,
05197K,,CS,Bar Code,,081652051978,RETAIL 2023_04_04,,2024-07-29,,
05197K,,CS,Bar Code,,10081652051975,WH 2023_04_04,,2024-07-29,,
05198K,,CS,Bar Code,,081652051985,RETAIL 2023_04_04,,2024-07-29,,
05198K,,CS,Bar Code,,10081652051982,WH 2023_04_04,,2024-07-29,,
05201K,,CS,Customer,TN43,700739,,,,,
05201K,,CS,Bar Code,,081652052012,EACH,,2024-07-29,,
05201K,,CS,Bar Code,,10081652052019,CASE,,2024-07-29,,
05205K,,CS,Bar Code,,081652052050,RETAIL 2023_04_04,,2024-07-29,,
05205K,,CS,Bar Code,,10081652052057,WH 2023_04_04,,2024-07-29,,
05209K,,CS,Bar Code,,081652052098,RETAIL 2023_04_24,,2024-07-29,,
05209K,,CS,Bar Code,,10081652052095,WH 2023_04_24,,2024-07-29,,
05211K,,CS,Bar Code,,081652052111,RETAIL 2023_03_17,,2024-07-29,,
05211K,,CS,Bar Code,,10081652052118,WH 2023_03_17,,2024-07-29,,
05217K,,CS,Bar Code,,081652052173,RETAIL 2023_04_04,,2024-07-29,,
05217K,,CS,Bar Code,,10081652052170,WH 2023_04_04,,2024-07-29,,
05222K,,CS,Bar Code,,081652052227,RETAIL 2023_04_04,,2024-07-29,,
05222K,,CS,Bar Code,,10081652052224,WH 2023_04_04,,2024-07-29,,
05226J,,EA,Bar Code,,14901174400760,CASE,,2024-07-29,2025-02-04,
05226J,,EA,Bar Code,,4901174400763,EACH,,2024-07-29,2025-02-04,
05264D,,CS,Bar Code,,081652052647,EACH,,2024-07-29,2024-07-30,
05268J,,BX,Bar Code,,10000049567776,CS,,2024-07-29,2024-07-30,
05268J,,BX,Bar Code,,49567779,EACH,,2024-07-29,2024-07-30,
05268J,,CS,Bar Code,,10000049567776,CS,,2024-07-29,2024-07-30,
05292K,,CS,Bar Code,,10081652052927,WH 2023_04_04,,2024-07-29,2024-07-30,
05292K,,CS,Bar Code,,8809250177034,RETAIL 2023_04_04,,2024-07-29,2024-07-30,
05296K,,CS,Bar Code,,081652052968,RETAIL 2023_04_04,,2024-07-29,,
05296K,,CS,Bar Code,,10081652052965,WH 2023_04_04,,2024-07-29,,
05297K,,CS,Bar Code,,081652052975,RETAIL 2023_04_04,,2024-07-29,,
05297K,,CS,Bar Code,,10081652052972,WH 2023_04_04,,2024-07-29,,
05300P,,CS,Bar Code,,14806515630007,CS,,2024-07-29,2024-07-30,
05300P,,CS,Bar Code,,4806515630000,EACH,,2024-07-29,2024-07-30,
05305K,,CS,Bar Code,,081652053057,EACH,,2025-04-15,,
05305K,,CS,Bar Code,,10081652053054,CASE,,2025-04-15,,
05306K,,CS,Bar Code,,081652053064,RETAIL 2023_04_04,,2024-07-29,,
05306K,,CS,Bar Code,,10081652053061,WH 2023_04_04,,2024-07-29,,
05307K,,CS,Bar Code,,081652053071,RETAIL 2023_04_04,,2024-07-29,,
05307K,,CS,Bar Code,,10081652053078,WH 2023_04_04,,2024-07-29,,
05307K,,CS,Bar Code,,181652053078,EACH,,2024-07-29,,
05308K,,CS,Bar Code,,081652053088,EACH,,2025-04-15,,
05308K,,CS,Bar Code,,10081652053085,CASE,,2025-04-15,,
05309K,,CS,Bar Code,,081652053095,RETAIL 2023_04_04,,2024-07-29,,
05309K,,CS,Bar Code,,10081652053092,WH 2023_04_04,,2024-07-29,,
05311P,,CS,Bar Code,,079809003628,RETAIL 2023_04_04,,2024-07-29,,
05311P,,CS,Bar Code,,079809818536,EACH,,2024-07-29,,
05311P,,CS,Bar Code,,10798090036289,CASE,,2024-07-29,,
05315K,,CS,Bar Code,,081652053156,RETAIL 2023_03_17,,2024-07-29,,
05315K,,CS,Bar Code,,10081652053153,WH 2023_03_17,,2024-07-29,,
05322P,,CS,Bar Code,,079809004625,RETAIL 2023_04_04,,2024-07-29,,
05322P,,CS,Bar Code,,10798090046257,CASE,,2024-07-29,,
05329P,,CS,Bar Code,,737964000257,RETAIL 2023_04_04,,2024-07-29,,
05330P,,CS,Bar Code,,737964000387,EACH,,2024-07-29,,
05330P,,CS,Bar Code,,737964000813,RETAIL 2023_04_04,,2024-07-29,,
05334P,,CS,Bar Code,,14809014302291,CASE,,2024-07-29,2024-07-30,
05334P,,CS,Bar Code,,4809014302294,EACH,,2024-07-29,2024-07-30,
05335C,,CS,Bar Code,,081652053354,RETAIL 2023_03_17,,2024-07-29,,
05335C,,CS,Bar Code,,10081652053351,WH 2023_03_17,,2024-07-29,,
05336P,,CS,Bar Code,,14809014302284,CASE,,2024-07-29,2024-07-30,
05336P,,CS,Bar Code,,4809014302287,EACH,,2024-07-29,2024-07-30,
05338D,,CS,Bar Code,,081652053385,RETAIL 2023_04_24,,2024-07-29,,
05338D,,CS,Bar Code,,10081652053382,CASE,,2024-07-29,,
05338D,,CS,Bar Code,,4003387005022,WH 2023_04_24,,2024-07-29,,
05343K,,CS,Bar Code,,10852320000331,CASE,,2024-07-29,2024-07-30,
05343K,,CS,Bar Code,,852320000334,EACH,,2024-07-29,2024-07-30,
05343K,,CS,Bar Code,,8801052431499,EACH,,2024-07-29,2024-07-30,
05380K,,CS,Bar Code,,081652053804,RETAIL 2023_04_04,,2024-07-29,,
05380K,,CS,Bar Code,,10081652053801,WH 2023_04_04,,2024-07-29,,
05381K,,CS,Bar Code,,081652053811,RETAIL 2023_04_04,,2024-07-29,,
05381K,,CS,Bar Code,,10081652053818,WH 2023_04_04,,2024-07-29,,
05382K,,CS,Bar Code,,081652053828,RETAIL 2023_04_04,,2024-07-29,,
05382K,,CS,Bar Code,,10081652053825,WH 2023_04_04,,2024-07-29,,
05383K,,CS,Bar Code,,081652053835,RETAIL 2023_04_04,,2024-07-29,,
05383K,,CS,Bar Code,,10081652053832,WH 2023_04_04,,2024-07-29,,
05384K,,CS,Bar Code,,081652053842,RETAIL 2023_04_04,,2024-07-29,,
05384K,,CS,Bar Code,,10081652053849,WH 2023_04_04,,2024-07-29,,
05387K,,BX,Bar Code,,10081652053870,CASE,,2025-04-15,,
05387K,,BX,Bar Code,,8809482210011,EACH,,2025-04-15,,
05388D,,CS,Bar Code,,081652053880,EACH,,2024-07-29,,
05388D,,CS,Bar Code,,10081652053887,CASE,,2024-07-29,,
05389D,,CS,Bar Code,,081652053897,RETAIL 2023_05_09,,2024-07-29,,
05389D,,CS,Bar Code,,10081652053894,WH 2023_05_09,,2024-07-29,,
05390D,,CS,Bar Code,,081652053903,EACH,,2024-07-29,,
05390D,,CS,Bar Code,,10081652053900,CASE,,2024-07-29,,
05396D,,CS,Bar Code,,081652053965,RETAIL 2023_04_24,,2024-07-29,,
05396D,,CS,Bar Code,,10081652053962,WH 2023_04_24,,2024-07-29,,
05399K,,CS,Bar Code,,081652053996,RETAIL 2023_04_04,,2024-07-29,,
05399K,,CS,Bar Code,,10081652053993,WH 2023_04_04,,2024-07-29,,
05401K,,CS,Bar Code,,18809201640010,WH 2023_04_24,,2024-07-29,2025-02-04,
05401K,,CS,Bar Code,,8809201640013,RETAIL 2023_04_24,,2024-07-29,2025-02-04,
05403C,,CS,Bar Code,,081652054030,RETAIL 2023_04_04,,2024-07-29,,
05403C,,CS,Bar Code,,10081652054037,WH 2023_04_04,,2024-07-29,,
05405C,,CS,Bar Code,,081652054054,RETAIL,,2024-07-29,,
05405C,,CS,Bar Code,,10081652054051,CASE,,2024-07-29,,
05410K,,CS,Bar Code,,081652054108,RETAIL,,2024-07-29,,
05411K,,CS,Bar Code,,081652054115,RETAIL,,2024-07-29,,
05412D,,CS,Bar Code,,081652054122,RETAIL 2023_05_09,,2024-07-29,,
05412D,,CS,Bar Code,,10081652054129,WH 2023_05_09,,2024-07-29,,
05413D,,CS,Bar Code,,081652054139,EACH,,2024-07-29,,
05413D,,CS,Bar Code,,10081652054136,CASE,,2024-07-29,,
05427K,,CS,Bar Code,,081652054276,EACH,,2024-07-29,,
05429K,,CS,Bar Code,,081652054290,EACH,,2024-07-29,,
05430K,,CS,Bar Code,,081652054306,RETAIL 2023_04_04,,2024-07-29,,
05430K,,CS,Bar Code,,10081652054303,WH 2023_05_22,,2024-07-29,,
05435K,,CS,Bar Code,,18801791400937,CASE,,2024-07-29,2024-07-30,
05435K,,CS,Bar Code,,18801791400999,BOX,,2024-07-29,2024-07-30,
05435K,,CS,Bar Code,,8801791400930,EACH,,2024-07-29,2024-07-30,
05436K,,CS,Bar Code,,18801791400944,CASE,,2024-07-29,2024-07-30,
05436K,,CS,Bar Code,,18801791401002,BOX,,2024-07-29,2024-07-30,
05436K,,CS,Bar Code,,8801791400947,EACH,,2024-07-29,2024-07-30,
05437K,,CS,Bar Code,,18801791400951,CASE,,2024-07-29,2024-07-30,
05437K,,CS,Bar Code,,18801791401019,BOX,,2024-07-29,2024-07-30,
05437K,,CS,Bar Code,,8801791400954,EACH,,2024-07-29,2024-07-30,
05438K,,CS,Bar Code,,18801791400968,CASE,,2024-07-29,2024-07-30,
05438K,,CS,Bar Code,,18801791401026,BOX,,2024-07-29,2024-07-30,
05438K,,CS,Bar Code,,8801791400961,EACH,,2024-07-29,2024-07-30,
05439K,,CS,Bar Code,,18801791400982,CASE,,2024-07-29,2024-07-30,
05439K,,CS,Bar Code,,18801791401040,BOX,,2024-07-29,2024-07-30,
05439K,,CS,Bar Code,,8801791400985,EACH,,2024-07-29,2024-07-30,
05440K,,CS,Bar Code,,18801791400975,CASE,,2024-07-29,2024-07-30,
05440K,,CS,Bar Code,,18801791401033,BOX,,2024-07-29,2024-07-30,
05440K,,CS,Bar Code,,8801791400978,EACH,,2024-07-29,2024-07-30,
05441K,,CS,Bar Code,,081652054412,EACH,,2024-07-29,2025-07-11,
05441K,,CS,Bar Code,,10081652054419,WH 2023_05_09,,2024-07-29,2025-07-11,
05442K,,CS,Bar Code,,081652054429,RETAIL 2023_05_09,,2024-07-29,,
05442K,,CS,Bar Code,,10081652054426,WH 2023_05_09,,2024-07-29,,
05443K,,CS,Bar Code,,081652054436,RETAIL 2023_04_14,,2024-07-29,,
05443K,,CS,Bar Code,,10081652054433,WH 2023_04_14,,2024-07-29,,
05445J,,BX,Bar Code,,14904561012416,CASE,,2024-07-29,,
05445J,,BX,Bar Code,,4904561012419,BOX,,2024-07-29,,
05445J,,CS,Bar Code,,14904561012416,CASE,,2024-07-29,,
05446J,,BX,Bar Code,,14904561012409,CASE,,2024-07-29,,
05446J,,BX,Bar Code,,4904561012402,BOX,,2024-07-29,,
05446J,,CS,Bar Code,,14904561012409,CASE,,2024-07-29,,
05447J,,BX,Bar Code,,14904561012423,CASE,,2024-07-29,,
05447J,,BX,Bar Code,,4904561012426,BOX,,2024-07-29,,
05447J,,CS,Bar Code,,14904561012423,CASE,,2024-07-29,,
05449K,,CS,Bar Code,,081652054412,RETAIL,,2025-03-30,2025-03-30,
05449K,,CS,Bar Code,,10081652054495,,,2025-03-30,2025-03-30,
05450K,,CS,Bar Code,,081652054429,RETAIL,,2025-04-27,2025-04-27,
05450K,,CS,Bar Code,,10081652054501,,,2025-04-27,2025-04-27,
05451K,,CS,Bar Code,,081652054436,RETAIL,,2025-04-28,2025-04-28,
05451K,,CS,Bar Code,,10081652054518,,,2025-04-28,2025-04-28,
05555K,,CS,Bar Code,,18801047206023,,,2025-04-25,2025-04-26,
05555K,,CS,Bar Code,,8801047206026,RETAIL,,2025-04-25,2025-04-26,
05556K,,CS,Bar Code,,18801047206016,,,2025-04-25,2025-04-26,
05556K,,CS,Bar Code,,8801047206019,RETAIL,,2025-04-25,2025-04-26,
05557K,,CS,Bar Code,,18801047206047,,,2025-04-25,2025-04-26,
05557K,,CS,Bar Code,,8801047206040,RETAIL,,2025-04-25,2025-04-26,
05558K,,CS,Bar Code,,18801047206030,,,2025-04-25,2025-04-26,
05558K,,CS,Bar Code,,8801047206033,RETAIL,,2025-04-25,2025-04-26,
05559K,,CS,Bar Code,,18801047206054,,,,,
05559K,,CS,Bar Code,,8801047206057,RETAIL,,,,
05560K,,CS,Bar Code,,18801047206061,,,,,
05560K,,CS,Bar Code,,8801047206064,RETAIL,,,,
05561K,,CS,Bar Code,,18801047206085,,,,,
05561K,,CS,Bar Code,,8801047206088,RETAIL,,,,
05562K,,CS,Bar Code,,18801047206078,,,,,
05562K,,CS,Bar Code,,8801047206071,RETAIL,,,,
06002K,,CS,Bar Code,,8804005000162,Retail,,2024-07-29,,
06006K,,CS,Bar Code,,081652060062,EACH,,2024-07-29,,
06006K,,CS,Bar Code,,10081652060069,CASE,,2024-07-29,,
06007K,,CS,Bar Code,,081652060079,EACH,,2024-07-29,,
06007K,,CS,Bar Code,,10081652060076,CASE,,2024-07-29,,
06008K,,CS,Bar Code,,8804005000056,EACH,,2024-07-29,,
06008K,,CS,Bar Code,,8804005000223,CASE,,2024-07-29,,
06009K,,CS,Bar Code,,8804005000155,EACH,,2024-07-29,,
06010K,,CS,Bar Code,,188040005000060,,,2024-11-01,,
06010K,,CS,Bar Code,,8804005000063,Retail,,2024-07-29,,
06011K,,CS,Bar Code,,18804005000107,WH 2023_05_09,,2024-07-29,,
06011K,,CS,Bar Code,,8804005000100,RETAIL 2023_05_09,,2024-07-29,,
06013K,,CS,Bar Code,,18804005000213,WH 2023_05_09,,2024-07-29,,
06013K,,CS,Bar Code,,8804005000216,RETAIL 2023_05_09,,2024-07-29,,
06014K,,CS,Bar Code,,8804005000049,EACH,,2024-07-29,,
06014K,,CS,Bar Code,,8804005000070,EACH,,2024-07-29,,
06018C,,CS,Bar Code,,081652060185,EACH,,2025-04-15,,
06018C,,CS,Bar Code,,10081652060182,CASE,,2025-04-15,,
06020K,,CS,Bar Code,,081652060208,EACH,,2025-04-15,,
06020K,,CS,Bar Code,,10081652060205,CASE,,2025-04-15,,
06021K,,BX,Bar Code,,081652060215,EACH,,2024-07-29,,
06021K,,BX,Bar Code,,10081652060212,CASE,,2024-07-29,,
06021K,,CS,Bar Code,,081652060215,EACH,,2024-07-29,,
06021K,,CS,Bar Code,,10081652060212,CASE,,2024-07-29,,
06022C,,CS,Bar Code,,081652060222,RETAIL 2023_04_14,,2024-07-29,,
06022C,,CS,Bar Code,,10081652060229,WH 2023_04_14,,2024-07-29,,
06023K,,CS,Bar Code,,081652060239,EACH,,2024-07-29,,
06023K,,CS,Bar Code,,10081652060236,CASE,,2024-07-29,,
06024K,,BX,Bar Code,,081652060246,EACH,,2024-07-29,2024-10-22,
06026D,,CS,Bar Code,,081652060260,EACH,,2024-07-29,2024-10-22,
06026D,,CS,Bar Code,,10081652060267,CS,,2024-07-29,2024-10-22,
06034K,,CS,Bar Code,,081652060345,RETAIL 2023_04_10,,2024-07-29,,
06034K,,CS,Bar Code,,10081652060342,WH 2023_04_10,,2024-07-29,,
06036K,,CS,Bar Code,,081652060369,RETAIL 2023_04_14,,2024-07-29,,
06036K,,CS,Bar Code,,10051652060366,CASE,,2024-07-29,,
06036K,,CS,Bar Code,,10081652060366,WH 2023_04_14,,2024-07-29,,
06037K,,CS,Bar Code,,081652060376,RETAIL 2023_04_14,,2024-07-29,,
06037K,,CS,Bar Code,,10081652060373,WH 2023_04_14,,2024-07-29,,
06038K,,CS,Bar Code,,081652060383,EACH,,2024-07-29,,
06038K,,CS,Bar Code,,10081652060380,WH 2023_04_14,,2024-07-29,,
06048K,,CS,Bar Code,,081652060482,RETAIL 2023_04_14,,2024-07-29,,
06048K,,CS,Bar Code,,10081652060489,WH 2023_04_14,,2024-07-29,,
06050K,,CS,Bar Code,,081652060505,EACH,,2024-07-29,,
06050K,,CS,Bar Code,,10081652060502,CASE,,2024-07-29,,
06054K,,CS,Bar Code,,081652060543,RETAIL 2023_04_24,,2024-07-29,,
06054K,,CS,Bar Code,,10081652060540,WH 2023_04_24,,2024-07-29,,
06056C,,EA,Bar Code,,081652060567,EACH,,2024-07-29,,
06056C,,EA,Bar Code,,10081652060564,CASE,,2024-07-29,,
06061K,,CS,Bar Code,,081652060611,RETAIL 2023_04_14,,2024-07-29,,
06061K,,CS,Bar Code,,10081652060618,WH 2023_04_14,,2024-07-29,,
06062C,,CS,Bar Code,,081652060628,RETAIL 2023_04_14,,2024-07-29,,
06062C,,CS,Bar Code,,10081652060625,WH 2023_04_14,,2024-07-29,,
06063K,,EA,Bar Code,,081652060635,EACH,,2024-07-29,,
06063K,,EA,Bar Code,,10081652060632,CASE,,2024-07-29,,
06078K,,BX,Bar Code,,081652060789,EACH,,2023-06-30,2023-07-30,
06079K,,CS,Bar Code,,081652060796,RETAIL 2023_05_09,,2023-06-30,2023-07-30,
06079K,,CS,Bar Code,,10081652060793,WH 2023_05_09,,2023-06-30,2023-07-30,
06080K,,CS,Bar Code,,10081652060809,WH 2023_05_09,,2024-07-29,,
06080K,,CS,Bar Code,,8809144500016,RETAIL 2023_05_09,,2024-07-29,,
06081K,,CS,Bar Code,,10081652060816,WH 2023_05_09,,2024-07-29,,
06081K,,CS,Bar Code,,8809144500054,RETAIL 2023_05_09,,2024-07-29,,
06083K,,CS,Bar Code,,8809061314352,EACH,,2025-04-15,,
06086D,,CS,Bar Code,,081652060864,RETAIL 2023_05_10,,2023-06-30,2023-07-30,
06086D,,CS,Bar Code,,10081652060861,WH 2023_05_10,,2023-06-30,2023-07-30,
06091K,,CS,Bar Code,,081652060918,EACH,,2024-07-29,,
06091K,,CS,Bar Code,,10081652060915,CASE,,2024-07-29,,
06096D,,CS,Bar Code,,081652060963,EACH,,2024-07-29,,
06096D,,CS,Bar Code,,10081652060960,CASE,,2024-07-29,,
06097D,,CS,Bar Code,,081652060970,EACH,,2024-07-01,2024-10-07,
06097D,,CS,Bar Code,,10081652060977,CASE,,2024-07-01,2024-10-07,
06099D,,CS,Bar Code,,081652060994,EACH,,2024-07-29,,
06099D,,CS,Bar Code,,10081652060991,CASE,,2024-07-29,,
06100K,,CS,Bar Code,,081652061007,RETAIL 2023_04_10,,2024-07-29,,
06100K,,CS,Bar Code,,10081652061004,WH 2023_04_10,,2024-07-29,,
06100K,,CS,Bar Code,,10081652061007,CASE,,2024-07-29,,
06113K,,CS,Bar Code,,081652061137,EACH,,2024-07-29,,
06113K,,CS,Bar Code,,10081652061134,CASE,,2024-07-29,,
06114K,,CS,Bar Code,,081652061144,EACH,,2024-07-29,,
06114K,,CS,Bar Code,,10081652061141,CASE,,2024-07-29,,
06115K,,CS,Bar Code,,081652061151,EACH,,2024-07-29,,
06115K,,CS,Bar Code,,10081652061151,CASE,,2024-07-29,,
06117K,,CS,Bar Code,,081652061175,EACH,,2024-07-29,,
06117K,,CS,Bar Code,,10081652061172,CASE,,2024-07-29,,
06121K,,CS,Bar Code,,883298182906,RETAIL 2023_04_10,,2024-07-29,,
06121K,,CS,Bar Code,,8832986157322,WH 2023_04_10,,2024-07-29,,
06124K,,CS,Bar Code,,18801047583551,CASE,,2024-07-29,,
06124K,,CS,Bar Code,,8801047583554,RETAIL 2023_04_04,,2024-07-29,,
06133K,,CS,Bar Code,,18801047583971,CASE,,2024-07-29,,
06133K,,CS,Bar Code,,8801047583974,EACH,,2024-07-29,,
06134K,,CS,Bar Code,,18801047583988,CASE,,2024-07-29,2024-07-30,
06134K,,CS,Bar Code,,8801047583981,EACH,,2024-07-29,2024-07-30,
06190K,,CS,Bar Code,,18801005302835,CASE,,2024-07-29,,
06190K,,CS,Bar Code,,8801005302838,EACH,,2024-07-29,,
06194C,,CS,Bar Code,,081652061946,RETAIL 2023_04_14,,2024-07-29,,
06194C,,CS,Bar Code,,10081652061943,WH 2023_04_14,,2024-07-29,,
06199C,,CS,Bar Code,,081652061991,EACH,,2024-07-29,,
06199C,,CS,Bar Code,,10081652061998,CASE,,2024-07-29,,
06200K,,CS,Bar Code,,18801081700006,WH 2023_04_04,,2024-07-29,,
06200K,,CS,Bar Code,,8801081700009,RETAIL 2023_04_04,,2024-07-29,,
06201C,,CS,Bar Code,,081652062011,RETAIL 2023_04_14,,2024-07-29,,
06201C,,CS,Bar Code,,10081652062018,WH 2023_04_14,,2024-07-29,,
06202C,,CS,Bar Code,,10081652062025,,,2025-05-18,2025-05-18,
06202C,,CS,Bar Code,,4545732062026,RETAIL,,2025-05-18,2025-05-18,
06472K,,CS,Bar Code,,18801081700068,WH 2023_04_04,,2024-07-29,,
06472K,,CS,Bar Code,,8801081700061,RETAIL 2023_04_04,,2024-07-29,,
06473C,,CS,Bar Code,,081652064732,RETAIL 2023_04_10,,2024-07-29,,
06473C,,CS,Bar Code,,10081652064739,WH 2023_04_10,,2024-07-29,,
06474J,,CS,Bar Code,,1490288855555,CASE,,2024-07-29,,
06474J,,CS,Bar Code,,14902888555555,WH 2023_04_10,,2024-07-29,,
06474J,,CS,Bar Code,,4902888555558,RETAIL 2023_04_10,,2024-07-29,,
06478C,,CS,Bar Code,,081652064787,RETAIL 2023_04_04,,2024-07-29,,
06478C,,CS,Bar Code,,10081652064784,WH 2023_04_04,,2024-07-29,,
06489J,,CS,Bar Code,,085696608051,RETAIL 2023_04_24,,2024-07-29,2024-09-15,
06489J,,CS,Bar Code,,10085696618057,WH 2023_04_24,,2024-07-29,2024-09-15,
06495J,,CS,Bar Code,,085696608037,RETAIL 2023_05_09,,2024-07-29,2024-09-15,
06495J,,CS,Bar Code,,10085696618033,WH 2023_05_09,,2024-07-29,2024-09-15,
06496J,,CS,Bar Code,,085696608044,RETAIL 2023_04_24,,2024-07-29,2024-09-15,
06496J,,CS,Bar Code,,10085696618040,WH 2023_04_24,,2024-07-29,2024-09-15,
06510J,,CS,Bar Code,,085696608051,RETAIL,,2024-09-16,,
06510J,,CS,Bar Code,,10085696618057,,,2024-09-16,,
06511J,,CS,Bar Code,,085696608037,RETAIL,,2024-09-16,,
06511J,,CS,Bar Code,,10085696618033,,,2024-09-16,,
06512J,,CS,Bar Code,,085696608044,RETAIL,,2024-09-16,,
06512J,,CS,Bar Code,,10085696618040,,,2024-09-16,,
06594T,,CS,Bar Code,,48850367991752,CASE,,2024-07-29,,
06594T,,CS,Bar Code,,8850367991754,EACH,,2024-07-29,,
06600D,,CS,Bar Code,,815990013417,RETAIL 2023_04_04,,2024-07-29,,
06622T,,CS,Bar Code,,016229910884,RETAIL 2023_04_04,,2024-07-29,,
06622T,,CS,Bar Code,,08851613105574,WH 2023_04_04,,2024-07-29,,
06623T,,CS,Bar Code,,28850035214042,WH 2023_04_04,,2024-07-29,,
06623T,,CS,Bar Code,,8850035214048,RETAIL 2023_04_04,,2024-07-29,,
06623T,,CS,Bar Code,,890770001013,EACH,,2024-07-29,,
06624T,,CS,Bar Code,,28850035223006,WH 2023_04_04,,2024-07-29,,
06624T,,CS,Bar Code,,8850035223002,RETAIL 2023_04_04,,2024-07-29,,
06625T,,CS,Bar Code,,28850035186301,WH 2023_04_04,,2024-07-29,,
06625T,,CS,Bar Code,,8850035186307,RETAIL 2023_04_04,,2024-07-29,,
06626T,,CS,Bar Code,,28850035253058,WH 2023_04_04,,2024-07-29,,
